ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
150,5.26895,-23.3221,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
151,4.3908,-23.8291,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
152,3.51265,-24.3361,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
153,11.923,-20.6512,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
154,12.8011,-20.1442,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
155,13.6793,-19.6372,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
156,14.5574,-19.1302,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
157,15.4356,-18.6232,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
158,16.3137,-18.1162,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
159,17.1919,-17.6092,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
160,18.07,-17.1022,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
161,18.9482,-16.5952,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
162,19.8263,-16.0882,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
163,11.0449,-21.1582,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
164,10.1667,-21.6652,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
165,9.28855,-22.1722,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
166,8.4104,-22.6792,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
167,7.53225,-23.1862,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
168,6.6541,-23.6932,39.3,-0.0438148,-0.0252965,0.998719,69.8,2,18446744073709551615,18446744073709551615,0,0,0
169,6.25089,-23.926,28.4741,-0.0438148,-0.0252965,0.998719,59.05,2,18446744073709551615,18446744073709551615,0,0,0
170,20.2296,-15.8554,50.1259,-0.0438148,-0.0252965,0.998719,59.05,2,18446744073709551615,18446744073709551615,0,0,0
171,5.81089,-24.1801,18.4869,-0.0438148,-0.0252965,0.998719,49.05,2,18446744073709551615,18446744073709551615,0,0,0
172,20.6696,-15.6014,60.1131,-0.0438148,-0.0252965,0.998719,49.05,2,18446744073709551615,18446744073709551615,0,0,0
173,5.37089,-24.4341,8.49973,-0.0438148,-0.0252965,0.998719,39.05,2,18446744073709551615,18446744073709551615,0,0,0
174,21.1096,-15.3474,70.1003,-0.0438148,-0.0252965,0.998719,39.05,2,18446744073709551615,18446744073709551615,0,0,0
175,4.93089,-24.6881,-1.48746,-0.0438148,-0.0252965,0.998719,29.05,2,18446744073709551615,18446744073709551615,0,0,0
176,21.5496,-15.0933,80.0875,-0.0438148,-0.0252965,0.998719,29.05,2,18446744073709551615,18446744073709551615,0,0,0
177,4.49089,-24.9422,-11.4747,-0.0438148,-0.0252965,0.998719,19.05,2,18446744073709551615,18446744073709551615,0,0,0
178,21.9896,-14.8393,90.0747,-0.0438148,-0.0252965,0.998719,19.05,2,18446744073709551615,18446744073709551615,0,0,0
